"superkingdom","phylum","class","order","family","genus","species"
"Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Totiviridae","Victorivirus","Coniothyrium minitans RNA virus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Aravan lyssavirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Sclerodarnavirus","Sclerotinia sclerotiorum debilitation-associated RNA virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Carmotetraviridae","Alphacarmotetravirus","Providence virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Hosta virus X"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Gammapartitivirus","Penicillium stoloniferum virus S"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Daphne virus S"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Velarivirus","Grapevine leafroll-associated virus 7"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Velarivirus","Little cherry virus 1"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Chinese artichoke mosaic virus"
"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Kamiti River virus"
"Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae","Sobemovirus","Turnip rosette virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Nepovirus","Grapevine Anatolian ringspot virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Luteovirus","Barley yellow dwarf virus GAV"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Crinivirus","Strawberry pallidosis-associated virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae","Tobamovirus","Youcai mosaic virus"
"Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae","Polerovirus","Cereal yellow dwarf virus RPS"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae","Tobamovirus","Cactus mild mottle virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Nepovirus","Grapevine deformation virus"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Gammalipothrixvirus","Acidianus filamentous virus 1"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Betapartitivirus","Rosellinia necatrix virus 1"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Tenuivirus","Iranian wheat stripe tenuivirus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Khujand lyssavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Maporal orthohantavirus"
"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Betaretrovirus","Enzootic nasal tumour virus of goats"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Iflaviridae","Iflavirus","Ectropis obliqua virus"
"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Betaretrovirus","Langur virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Cole latent virus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Narmovirus","Mossman narmovirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Bromoviridae","Ilarvirus","Strawberry necrotic shock virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Tuberose mild mottle virus"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Hypoviridae","Hypovirus","Cryphonectria hypovirus 4"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Schlumbergera virus X"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Zygocactus virus X"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Opuntia virus X"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Tombusvirus","Havel River virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Pepper veinal mottle virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Bromoviridae","Ilarvirus","Fragaria chiloensis latent virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Melon yellowing-associated virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Tombusvirus","Neckar River virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Tombusvirus","Sitke waterborne virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Tombusvirus","Pelargonium necrotic spot virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Meadow saffron breaking virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Nepovirus","Potato black ringspot virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Pfaffia mosaic virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Amazon lily mosaic virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Sweet potato chlorotic fleck virus"
"Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Totiviridae","Victorivirus","Chalara elegans RNA Virus 1"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Crinivirus","Bean yellow disorder virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Bromoviridae","Ilarvirus","Humulus japonicus latent virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Tombusvirus","Petunia asteroid mosaic virus"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Tombusvirus","Limonium flower distortion virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Hepelivirales","Alphatetraviridae","Omegatetravirus","Dendrolimus punctatus virus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Ilesha orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Fort Sherman orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Bunyamwera orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Tensaw orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Macaua orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Bunyamwera orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Birao orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Bunyamwera orthobunyavirus"
"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Cardoreovirus","Eriocheir sinensis reovirus"
"Viruses","Lenarviricota","Howeltoviricetes","Cryppavirales","Mitoviridae","Mitovirus","Thielaviopsis basicola mitovirus"
"Viruses","Lenarviricota","Howeltoviricetes","Cryppavirales","Mitoviridae","Mitovirus","Gremmeniella abietina mitochondrial RNA virus S2"
"Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Totiviridae","Totivirus","Gremmeniella abietina RNA virus L2"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Daphne virus Y"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Alphacarmovirus","Nootka lupine vein clearing virus"
"Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Chrysoviridae","Alphachrysovirus","Amasya cherry disease associated chrysovirus"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Alphapartitivirus","Cherry chlorotic rusty spot associated partitivirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae","Maculavirus","Bombyx mori Macula-like virus"
"Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Human coronavirus HKU1"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Spiranthes mosaic virus 3"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Euphorbia ringspot virus"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Alphapartitivirus","White clover cryptic virus 1"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Marituba orthobunyavirus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Dicistroviridae","Aparavirus","Israeli acute paralysis virus"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Gammapartitivirus","Penicillium stoloniferum virus F"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Arenavirus","Mopeia Lassa virus reassortant 29"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Deltalipothrixvirus","Acidianus filamentous virus 2"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Closterovirus","Mint virus 1"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Bromoviridae","Bromovirus","Cassia yellow blotch virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Mint virus X"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Caliciviridae","Vesivirus","Rabbit vesivirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Tomato yellow ring orthotospovirus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Tradescantia mild mosaic virus"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Rudiviridae","Rudivirus","Acidianus rod-shaped virus 1"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Calla lily chlorotic spot orthotospovirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae","Alphaendornavirus","Vicia faba alphaendornavirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae","Alphaendornavirus","Phytophthora alphaendornavirus 1"
"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Mycoreovirus","Mycoreovirus 1"
"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Mycoreovirus","Mycoreovirus 3"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae","Marafivirus","Citrus sudden death-associated virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae","Tymovirus","Nemesia ring necrosis virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae","Tymovirus","Scrophularia mottle virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae","Tymovirus","Plantago mottle virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Tymoviridae","Tymovirus","Anagyris vein yellowing virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Vitivirus","Mint virus 2"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Alstroemeria virus X"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Allium virus X"
"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Deltaretrovirus","Human T-lymphotropic virus 4"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Sripuvirus","Almpiwar sripuvirus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Hapavirus","Parry Creek hapavirus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Sripuvirus","Almpiwar sripuvirus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Jeilongvirus","Jun jeilongvirus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Brambyvirus","Blackberry virus Y"
"Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Mesoniviridae","Alphamesonivirus","Alphamesonivirus 1"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Closterovirus","Raspberry leaf mottle virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Comovirus","Radish mosaic virus"
"Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales","Solemoviridae","Polerovirus","Chickpea chlorotic stunt virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Twisted-stalk chlorotic streak virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Potato virus P"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Fritillary virus Y"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Potexvirus","Nerine virus X"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Caraparu orthobunyavirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Hippeastrum latent virus"
"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Mimoreovirus","Micromonas pusilla reovirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Bromoviridae","Ilarvirus","Blackberry chlorotic ringspot virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Cheravirus","Stocky prune virus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Jeilongvirus","Beilong jeilongvirus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Ranunculus leaf distortion virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Ranunculus mosaic virus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","East Asian Passiflora virus"
"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Dinovernavirus","Aedes pseudoscutellaris reovirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Groundnut yellow spot orthotospovirus"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","Acidianus filamentous virus 3"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","Acidianus filamentous virus 6"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","Acidianus filamentous virus 7"
"Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales","Lipothrixviridae","Betalipothrixvirus","Acidianus filamentous virus 8"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Kitaviridae","Cilevirus","Citrus leprosis virus C"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Gammapartitivirus","Ophiostoma partitivirus 1"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Marituba orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Marituba orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Marituba orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Marituba orthobunyavirus"
"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Oriboca orthobunyavirus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Nepovirus","Artichoke yellow ringspot virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Foveavirus","Asian prunus virus 2"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Foveavirus","Asian prunus virus 1"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Foveavirus","Asian prunus virus 3"
"Viruses","Kitrinoviricota","Tolucaviricetes","Tolivirales","Tombusviridae","Alphacarmovirus","Angelonia flower break virus"
"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Finkel-Biskis-Jinkins murine sarcoma virus"
"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Gammaretrovirus","Chick syncytial virus"
"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Alpharetrovirus","UR2 sarcoma virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae","Alphaendornavirus","Bell pepper alphaendornavirus"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Gammapartitivirus","Aspergillus ochraceous virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Marnaviridae","Bacillarnavirus","Rhizosolenia setigera RNA virus 01"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae","Alphaendornavirus","Oryza rufipogon alphaendornavirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae","Alphaendornavirus","Oryza sativa alphaendornavirus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Alphaflexiviridae","Lolavirus","Lolium latent virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Ampelovirus","Grapevine leafroll-associated virus 10"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Sadwavirus","Black raspberry necrosis virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Nerine latent virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae","Tobamovirus","Bell pepper mottle virus"
"Viruses","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae","Deltapartitivirus","Pepper cryptic virus 1"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Torradovirus","Tomato torrado virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Hepelivirales","Benyviridae","Benyvirus","Rice stripe necrosis virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Closteroviridae","Ampelovirus","Pineapple mealybug wilt-associated virus 3"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae","Betaendornavirus","Gremmeniella abietina betaendornavirus 1"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Hydrangea chlorotic mottle virus"
"Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales","Betaflexiviridae","Carlavirus","Passiflora latent virus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Curiovirus","Rochambeau curiovirus"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Aquaparamyxovirus","Salmon aquaparamyxovirus"
"Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Totiviridae","Victorivirus","Epichloe festucae virus 1"
"Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Chloriridovirus","Invertebrate iridescent virus 3"
"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Virgaviridae","Tobamovirus","Cucumber mottle virus"
"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Culex flavivirus"
"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Aedes flavivirus"
"Viruses","Pisuviricota","Stelpaviricetes","Patatavirales","Potyviridae","Potyvirus","Zucchini yellow fleck virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Comovirus","Turnip ringspot virus"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Sequivirus","Dandelion yellow mosaic virus"
"Viruses","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Miniopterus bat coronavirus 1"
